ID,width,rotorigin,area
1,0.09402773,0.254135655,0.0028
2,0.06260673,0.33245288500000003,0.0037
3,0.16159666,0.26919917000000004,0.0054
4,0.38255702,0.234493,0.0073
5,0.22840823999999998,0.46420162,0.0043
6,0.11764231999999997,0.48459267,0.0026
7,0.15859891000000004,0.622713285,0.0033
8,0.12798009,0.6423957849999999,0.0009
9,0.13378443000000007,0.706028705,0.0031
10,0.26032004999999997,0.573308265,0.0050
11,0.2552485400000001,0.93314528,0.0065
12,0.29173821,0.949835185,0.0049
13,0.23276951999999995,0.8037349,0.0073
14,0.09710552000000006,0.9686724200000001,0.0019
15,0.1392320199999999,1.1303855600000001,0.0022
16,0.10897698,1.25449006,0.0027
17,0.23600073,1.213704655,0.0046
18,0.10128029999999999,1.19257434,0.0036
19,0.18655259999999996,1.2613379299999998,0.0029
20,0.26536258999999995,1.035380335,0.0033
21,0.28314570000000006,0.7611261899999999,0.0059
22,0.10338729999999996,0.5678596899999999,0.0013
23,0.10704154999999999,0.462645265,0.0006
24,0.25451026,0.28186935999999996,0.0039
