0;0;0;0;1.15129596452e-05;1.15128814286e-05
0;0;1;0;1.73269327206e-05;1.73269145307e-05
0;0;2;0;5.49597007193e-06;5.4959582485e-06
0;0;3;0;6.01079136686e-06;6.01079136686e-06
0;0;4;0;8.37195148051e-06;8.37194238557e-06
0;0;5;0;1.09960037662e-05;1.09960037662e-05
0;0;6;0;1.50077103171e-05;1.50076893988e-05
0;0;7;0;5.69141320739e-06;5.69139638174e-06
0;0;8;0;4.01878060075e-06;4.01865509048e-06
0;0;9;0;5.23864628121e-06;4.90572392664e-06
0;0;10;0;3.32069294018e-06;3.32050080942e-06
0;0;11;0;3.17458830068e-06;3.1745803426e-06
0;0;12;0;4.95570020576e-06;4.95561289426e-06
0;0;13;0;2.46494983003e-06;2.46460604103e-06
0;0;14;0;2.82968358079e-06;2.82944620267e-06
0;0;15;0;1.86175202543e-06;1.86174509054e-06
0;0;16;0;2.52567292591e-06;2.52566132986e-06
0;0;17;0;1.69770743241e-07;1.6973896777e-07
0;1;0;0;1.50288788063e-05;1.50287705765e-05
0;1;1;0;4.01833094656e-05;4.01817196689e-05
0;1;2;0;1.34502497531e-05;1.34502379296e-05
0;1;3;0;1.21974371723e-05;1.21974371723e-05
0;1;4;0;1.64530774782e-05;1.64530774782e-05
0;1;5;0;3.31700175593e-05;3.31700066454e-05
0;1;6;0;2.5029079552e-05;2.50290468102e-05
0;1;7;0;1.30228936541e-05;1.30228372655e-05
0;1;8;0;1.25799251691e-05;1.25798869703e-05
0;1;9;0;1.8480601284e-05;1.84805685421e-05
0;1;10;0;1.05962944872e-05;1.05960007204e-05
0;1;11;0;1.00746028693e-05;1.00745937743e-05
0;1;12;0;1.27413422888e-05;1.27410985442e-05
0;1;13;0;2.90932780445e-06;2.90930120173e-06
0;1;14;0;1.15482307592e-05;1.15481971079e-05
0;1;15;0;1.40569336509e-05;1.4056902728e-05
0;1;16;0;9.42624046729e-06;9.42620317801e-06
0;1;17;0;5.89871524426e-06;5.8986906879e-06
0;2;0;0;8.96996789379e-05;8.96989222383e-05
0;2;1;0;0.000106914390926;0.000106913626951
0;2;2;0;2.44228122028e-05;2.44228122028e-05
0;2;3;0;2.41463694692e-05;2.41463694692e-05
