0;0;0;0;6.79311960994e-06;6.79311960994e-06
0;0;1;0;5.27904421688e-06;5.27904421688e-06
0;0;2;0;2.6730317586e-06;2.6730317586e-06
0;0;3;0;2.93643688565e-06;2.93643688565e-06
0;0;4;0;7.20258924503e-07;7.20253353848e-07
0;0;5;0;2.34282538258e-06;2.34282310885e-06
0;0;6;0;4.40977373728e-06;4.40977373728e-06
0;0;7;0;2.63650304078e-06;2.63650304078e-06
0;0;8;0;8.3567999809e-07;8.35678292788e-07
0;0;9;0;1.71654801306e-06;1.71649367076e-06
0;0;10;0;1.4397111272e-06;1.43964257404e-06
0;0;11;0;1.38441043873e-06;1.38440566388e-06
0;0;12;0;2.77562639894e-06;2.77562639894e-06
0;0;13;0;1.51598248976e-06;1.51598248976e-06
0;0;14;0;9.98372584604e-08;8.03896398338e-08
0;0;15;0;5.42845270957e-07;5.42837994999e-07
0;0;16;0;1.33894320697e-06;1.33894320697e-06
0;0;17;0;1.26073473439e-07;1.08004762467e-07
0;1;0;0;7.57022371545e-06;7.57022144171e-06
0;1;1;0;7.68574318499e-06;7.68574318499e-06
0;1;2;0;5.30720353709e-06;5.30707893631e-06
0;1;3;0;6.24792892268e-06;6.24786071057e-06
0;1;4;0;6.76511581332e-06;6.76504987496e-06
0;1;5;0;4.90276897835e-06;4.90276897835e-06
0;1;6;0;6.56268866805e-06;6.56264091958e-06
0;1;7;0;5.82223856327e-06;5.822199455e-06
0;1;8;0;5.67264351048e-06;5.67264351048e-06
0;1;9;0;5.57045905225e-06;5.56963641429e-06
0;1;10;0;3.83289852834e-06;3.83289852834e-06
0;1;11;0;3.19445553032e-06;3.19445553032e-06
0;1;12;0;6.48629384159e-06;6.48621244181e-06
0;1;13;0;1.56605165103e-06;1.56604596668e-06
0;1;14;0;5.35412937097e-06;5.35412937097e-06
0;1;15;0;3.78396453016e-06;3.78396453016e-06
0;1;16;0;3.58595048056e-06;3.58595048056e-06
0;1;17;0;3.18092111229e-06;3.18092111229e-06
0;2;0;0;1.90621030924e-05;1.89803195099e-05
0;2;1;0;4.61134841316e-05;2.87222428597e-05
0;2;2;0;4.08851883549e-05;3.33346652042e-05
0;2;3;0;4.5819022489e-05;4.06564322475e-05
0;2;4;0;1.83920456038e-05;1.83630454558e-05
0;2;5;0;1.61696352734e-05;1.61696261785e-05
0;2;6;0;1.80914685188e-05;1.80890456249e-05
0;2;7;0;1.12620637083e-05;1.12619763968e-05
0;2;8;0;1.68536989804e-05;1.68536989804e-05
0;2;9;0;1.50283894982e-05;1.5027815607e-05
0;2;10;0;8.03059811005e-06;8.01892929303e-06
0;2;11;0;7.07105164111e-06;7.07104072717e-06
0;2;12;0;9.02911233425e-06;9.01053044799e-06
0;2;13;0;6.77792559145e-06;6.77790967529e-06
0;2;14;0;7.48000684325e-06;7.47929425415e-06
0;2;15;0;9.13471194508e-06;9.12539962883e-06
0;2;16;0;8.50259766594e-06;8.50204469316e-06
0;2;17;0;6.73888689562e-06;6.73866907164e-06
0;3;0;0;2.51124529314e-05;2.211222818e-05
0;3;1;0;3.01343752653e-05;2.59427251876e-05
0;3;2;0;2.59993703366e-05;2.07996927202e-05
0;3;3;0;2.35287952819e-05;1.77296424226e-05
0;3;4;0;2.25264793698e-05;2.18977111217e-05
0;3;5;0;2.10284360946e-05;1.29106520035e-05
0;3;6;0;2.95530717267e-05;2.91962442134e-05
0;3;7;0;2.16841744987e-05;2.16828721022e-05
0;3;8;0;2.05010528589e-05;1.99842688744e-05
0;3;9;0;2.26859665418e-05;2.24069499382e-05
0;3;10;0;1.85514400073e-05;1.74476226675e-05
0;3;11;0;1.77992460522e-05;1.76890353032e-05
0;3;12;0;1.88623744179e-05;1.85859080375e-05
0;3;13;0;1.22801302496e-05;1.10998307719e-05
0;3;14;0;1.83670508704e-05;1.65255933098e-05
0;3;15;0;2.28268454521e-05;2.172429231e-05
0;3;16;0;1.69387931237e-05;1.55630332301e-05
0;3;17;0;1.50817495523e-05;1.2158260688e-05
0;4;0;0;0.000167535719811;2.26618558372e-05
0;4;1;0;0.000910397386178;0.000396726478357
0;4;2;0;0.000873251177836;0.000330986629706
0;4;3;0;0.000490175327286;0.00013239835971
0;4;4;0;7.41255862522e-05;2.28245735343e-05
0;4;5;0;0.00021513075626;9.31393224164e-05
0;4;6;0;0.000609120877925;0.00029679905856
0;4;7;0;0.000300435436657;0.000142686592881
0;4;8;0;4.80922608403e-05;2.24511259148e-05
0;4;9;0;6.70373774483e-05;6.19088459644e-05
